,1,2,3,4,5,6
1,253.2,0.6,0.3,1.1,0.4,0.9
2,0.9,288.5,1.4,0.6,1.0,0.2
3,0.1,1.3,159.9,0.8,1.6,0.4
4,1.4,0.6,0.4,187.5,1.1,2.6
5,0.6,0.7,1.7,1.2,295.3,1.4
6,0.8,0.3,0.3,2.9,0.8,178.2
