,1,2,3,4,5,6
1,173.6,4.0,0.9,61.3,5.1,11.6
2,3.2,162.8,13.4,64.4,6.7,42.1
3,2.4,1.8,128.1,17.6,4.3,9.9
4,1.4,0.8,0.7,126.8,5.5,58.4
5,3.0,0.8,5.0,62.0,185.5,44.6
6,0.7,2.5,0.0,5.8,9.2,165.1
