,ROC,Acuracia,F1,tempo(s) treino,tempo(s) predição,matriz,hiper paramentros,modelo
0,99.85,99.04,98.97,5870.031030,1.295520,"[[255.10 0.10 0.30 0.60 0.40 0.00]
 [0.70 290.10 0.60 0.40 0.50 0.30]
 [0.00 0.30 161.60 0.30 1.90 0.00]
 [0.50 0.20 0.00 191.20 0.30 1.40]
 [0.30 0.20 1.00 0.30 298.60 0.50]
 [0.40 0.00 0.00 1.50 0.40 181.00]]","[{'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}]",MLPClassifier()
1,99.63,99.18,99.17,423.205150,47.410640,"[[254.30 0.80 0.00 0.80 0.60 0.00]
 [0.70 290.90 0.30 0.00 0.60 0.10]
 [0.00 0.40 162.30 0.00 1.40 0.00]
 [0.80 0.70 0.00 190.70 0.20 1.20]
 [0.60 0.20 0.60 0.20 299.10 0.20]
 [0.40 0.00 0.00 0.50 0.10 182.30]]","[{'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}]",KNeighborsClassifier()
2,99.16,88.95,89.10,7578.724310,61.749080,"[[207.40 1.20 0.30 46.20 0.90 0.50]
 [0.30 279.80 0.30 11.60 0.50 0.10]
 [0.10 0.60 157.30 4.80 0.90 0.40]
 [0.80 0.30 0.00 190.30 0.70 1.50]
 [1.60 0.10 0.70 35.30 261.20 2.00]
 [0.10 0.00 0.00 40.80 1.10 141.30]]","[{'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}]",SVC()
3,98.14,97.05,96.87,694.763100,0.389520,"[[250.90 0.60 0.60 1.50 1.50 1.40]
 [0.50 288.60 0.90 0.90 1.20 0.50]
 [0.00 1.20 159.50 1.00 2.10 0.30]
 [2.10 0.40 0.40 184.50 2.70 3.50]
 [1.90 0.60 2.00 2.70 291.60 2.10]
 [2.00 0.10 0.30 4.40 1.70 174.80]]","[{'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}]",DecisionTreeClassifier()
4,90.33,68.21,70.39,233.141140,1.342430,"[[171.00 2.40 1.30 68.40 6.30 7.10]
 [8.00 157.70 13.80 90.60 8.80 13.70]
 [2.40 1.70 127.10 24.10 4.80 4.00]
 [1.30 0.80 0.40 164.40 5.70 21.00]
 [5.20 2.30 5.90 94.80 169.50 23.20]
 [1.50 0.70 0.00 12.20 9.80 159.10]]","[{}, {}, {}, {}, {}, {}, {}, {}, {}, {}]",GaussianNB()
